Type,Air_Temperature,Process_Temperature,Rotational_Speed,Torque,Tool_Wear,Failure,TWF,HDF,PWF,OSF,RNF
M,302.0,311.1,1406,48.8,159,0,0,0,0,0,0
M,302.5,310.3,1488,41.8,160,0,0,0,0,0,0
L,297.6,308.1,1437,46.3,149,0,0,0,0,0,0
L,301.4,310.8,1285,62.6,183,1,0,0,0,1,0
L,300.7,311.9,1399,50.2,222,1,0,0,0,1,0
M,298.7,310.1,1402,69.7,64,1,0,0,1,0,0
M,303.6,312.8,1825,25.2,29,0,0,0,0,0,0
M,300.1,311.4,1617,39.3,47,0,0,0,0,0,0
L,301.2,310.9,1413,50.1,141,0,0,0,0,0,0
L,300.1,309.5,1660,32.7,57,0,0,0,0,0,0
L,303.4,311.8,1401,53.0,208,1,0,0,0,1,0
L,300.7,310.2,1348,54.8,50,0,0,0,0,0,0
L,296.9,307.7,1424,43.3,120,0,0,0,0,0,0
L,303.3,311.6,1301,45.1,219,1,0,1,0,0,0
L,300.1,311.3,1305,64.7,66,0,0,0,0,0,0
M,302.2,310.6,1346,49.2,134,1,0,1,0,0,0
L,299.7,309.1,1417,50.1,187,0,0,0,0,0,0
L,302.0,310.8,1615,29.0,235,1,1,0,0,0,0
L,297.4,308.6,1820,24.6,79,0,0,0,0,0,0
L,300.3,311.4,1526,38.5,101,0,0,0,0,0,0
L,299.9,309.4,1322,53.9,33,0,0,0,0,0,0
M,301.0,311.6,1609,35.8,156,0,0,0,0,0,0
M,303.3,312.6,1397,47.1,137,0,0,0,0,0,0
M,297.2,308.1,1340,61.3,207,1,0,0,0,1,0
H,299.3,309.0,1425,40.6,123,0,0,0,0,0,0
L,301.3,310.4,1414,51.4,199,0,0,0,0,0,0
M,304.1,313.3,1480,38.4,72,0,0,0,0,0,0
L,298.5,309.4,1360,60.9,187,1,0,0,0,1,0
M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0
M,296.8,307.8,1551,38.9,112,0,0,0,0,0,0
M,303.4,311.8,1341,47.0,210,1,0,1,0,0,0
L,298.2,307.6,1511,31.0,209,1,1,0,0,0,0
L,300.3,309.9,1393,56.1,12,0,0,0,0,0,0
L,302.7,312.1,1543,37.5,33,0,0,0,0,0,0
L,301.9,310.9,1567,39.0,214,1,1,0,0,0,0
H,302.2,311.5,1482,42.6,16,0,0,0,0,0,0
H,297.6,309.6,1278,50.4,2,0,0,0,0,0,0
M,303.5,312.9,1438,42.8,106,0,0,0,0,0,0
M,298.8,309.9,1741,27.7,50,0,0,0,0,0,0
L,301.7,310.2,1331,61.2,47,1,0,1,0,0,0
L,300.5,311.0,1759,28.3,13,0,0,0,0,0,0
L,299.3,308.6,1384,53.6,218,1,0,0,0,1,0
M,301.5,310.7,1336,65.6,0,1,0,0,1,0,0
L,299.0,310.1,1505,41.3,85,0,0,0,0,0,0
L,302.0,310.4,1568,39.2,112,0,0,0,0,0,0
H,300.4,309.9,2563,12.8,81,1,0,0,1,0,0
M,300.4,309.4,1875,23.9,155,0,0,0,0,0,0
M,298.9,310.0,1520,35.6,48,0,0,0,0,0,0
L,298.5,309.3,1623,33.1,109,0,0,0,0,0,0
L,301.6,311.1,1680,29.2,111,0,0,0,0,0,0
L,302.0,310.4,1357,58.0,108,1,0,1,0,0,0
M,300.3,311.7,1374,47.9,222,1,1,0,0,0,0
M,302.0,309.7,1386,62.7,142,1,0,0,1,0,0
L,301.2,311.4,1757,28.0,6,0,0,0,0,0,0
M,302.2,310.9,1488,44.2,57,0,0,0,0,0,0
L,302.4,310.3,1480,45.8,123,0,0,0,0,0,0
L,299.8,309.4,1630,32.4,53,0,0,0,0,0,0
M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0
L,303.7,312.1,1363,51.8,90,1,0,1,0,0,0
L,301.7,310.9,1557,39.4,2,0,0,0,0,0,0
L,298.8,309.8,1463,40.0,90,0,0,0,0,0,0
H,300.4,310.1,1484,38.0,198,0,0,0,0,0,0
M,300.2,311.6,1467,40.7,23,0,0,0,0,0,0
L,298.8,309.9,1629,31.9,49,0,0,0,0,0,0
L,298.0,308.5,1429,37.7,220,1,1,0,0,0,0
M,303.6,312.8,2659,11.4,26,1,0,0,1,0,0
M,301.5,310.4,2639,12.0,21,1,0,0,1,0,0
M,298.7,309.8,1435,48.8,71,0,0,0,0,0,0
M,302.1,310.7,1364,47.8,213,1,0,1,0,0,0
H,298.5,309.2,1568,40.6,39,0,0,0,0,0,0
L,296.9,307.8,1400,57.1,202,1,0,0,0,1,0
L,298.4,309.5,2153,15.3,98,1,0,0,1,0,0
L,302.1,311.2,1454,59.2,153,1,0,0,1,0,0
L,298.7,310.1,1676,33.5,70,0,0,0,0,0,0
L,301.3,310.1,1269,56.8,195,1,0,0,0,1,0
L,301.1,310.4,1312,73.6,49,1,0,0,1,0,0
M,303.6,311.8,1421,44.8,101,1,0,0,0,0,0
M,300.9,312.1,1617,31.0,148,0,0,0,0,0,0
L,302.0,309.9,1308,57.6,197,1,0,1,0,1,0
M,301.8,309.9,1334,61.0,182,1,0,1,0,0,0
L,300.0,311.4,1604,38.7,185,0,0,0,0,0,0
M,299.8,309.4,1751,27.0,173,0,0,0,0,0,0
M,300.6,310.6,1427,52.8,75,0,0,0,0,0,0
M,302.5,310.5,1527,38.8,136,0,0,0,0,0,0
M,302.2,310.7,1601,33.0,166,0,0,0,0,0,0
L,299.1,308.8,1329,53.6,207,1,0,0,0,1,0
L,297.3,308.2,1396,52.7,212,1,0,0,0,1,0
M,302.3,311.7,1504,37.3,107,0,0,0,0,0,0
H,300.2,311.5,1515,36.8,27,0,0,0,0,0,0
L,299.4,309.3,1448,48.6,44,0,0,0,0,0,0
L,300.3,310.4,1493,37.5,219,0,0,0,0,0,0
L,300.5,309.9,1503,37.4,175,0,0,0,0,0,0
L,298.6,309.8,2271,16.2,218,1,1,0,0,0,0
M,300.7,309.6,1996,19.8,203,1,1,0,0,0,0
M,300.3,309.1,1458,44.3,175,0,0,0,0,0,0
L,300.1,311.3,1479,39.5,133,0,0,0,0,0,0
M,299.6,309.2,1867,23.4,225,1,1,0,0,0,0
H,300.4,309.8,1448,39.7,107,0,0,0,0,0,0
L,297.3,308.7,1549,36.1,218,0,0,0,0,0,0
M,298.6,309.7,1314,49.7,136,0,0,0,0,0,0
M,301.1,310.6,1429,52.7,35,0,0,0,0,0,0
L,303.8,313.1,1869,25.8,211,0,0,0,0,0,0
M,300.2,309.7,1408,44.0,144,0,0,0,0,0,0
H,297.7,308.5,1720,29.9,210,0,0,0,0,0,0
L,297.2,307.9,1326,75.4,172,1,0,0,1,1,0
L,301.2,311.6,1461,52.9,208,1,0,0,0,1,0
L,302.5,310.9,1477,39.2,144,0,0,0,0,0,0
L,297.2,308.3,1419,39.7,115,0,0,0,0,0,0
L,302.2,311.7,1488,44.6,178,0,0,0,0,0,0
L,300.6,310.3,1648,30.5,217,1,1,0,0,0,0
M,297.6,309.2,1442,48.1,0,0,0,0,0,0,0
M,302.6,311.0,1329,48.6,111,1,0,1,0,0,0
M,302.4,310.1,1358,54.6,61,1,0,1,0,0,0
M,302.3,311.8,1443,43.4,175,0,0,0,0,0,0
L,297.8,308.9,1871,25.6,200,1,1,0,0,0,0
